@relation classification-training-weka.filters.unsupervised.attribute.Remove-R1

@attribute X1 numeric
@attribute X2 numeric
@attribute X3 numeric
@attribute X4 numeric
@attribute X5 numeric
@attribute X6 numeric
@attribute X7 numeric
@attribute X8 numeric
@attribute X9 numeric
@attribute X10 numeric
@attribute X11 numeric
@attribute X12 numeric
@attribute Classe {C,N,V}

@data
9,0.998878,0.999078,0.998957,0.999157,0.998498,0.998698,0.999264,0.999464,0.998804,0.999004,-0.156802,C
9,0.998701,0.998869,0.999096,0.999264,0.998483,0.998651,0.999096,0.999264,0.998943,0.999111,0.421787,C
9,0.999121,0.999366,0.999071,0.999315,0.998917,0.999162,0.999224,0.999468,0.999071,0.999315,-0.755046,C
9,0.999432,0.999691,0.999378,0.999637,0.998612,0.99887,1.000298,1.000557,0.999992,1.000251,1.699351,C
9,1.000317,1.000488,1.000435,1.000606,1.000128,1.000299,1.000435,1.000606,1.000435,1.000606,-0.710823,C
9,1.000706,1.000707,1.000557,1.000558,1.00025,1.000251,1.001017,1.001018,1.001017,1.001018,0.462325,C
9,1.000871,1.000835,1.000794,1.000758,1.000641,1.000604,1.000947,1.000911,1.000794,1.000758,-0.548671,C
9,1.000316,1.000152,1.000674,1.00051,0.999754,0.99959,1.000828,1.000663,1.000828,1.000663,0.778031,C
9,1.000123,0.999924,1.000153,0.999954,0.999693,0.999494,1.000613,1.000414,1.00046,1.00026,-0.043787,C
9,1.000099,1.000044,1.000115,1.000059,0.999655,0.999599,1.000421,1.000365,0.999961,0.999906,-0.359493,C
9,0.999524,0.9995,1.000054,1.00003,0.999135,0.999111,1.000054,1.00003,0.999595,0.99957,0.278061,C
9,0.999385,0.999457,0.999467,0.999539,0.999161,0.999232,0.99962,0.999692,0.999161,0.999232,-0.637117,C
9,0.999354,0.999368,0.99944,0.999453,0.998826,0.998839,0.999899,0.999913,0.999133,0.999146,0.905787,C
9,1.000053,1.000226,0.999209,0.999382,0.999209,0.999382,1.000589,1.000762,1.000436,1.000608,0.781716,C
9,1.000992,1.001024,1.000586,1.000618,1.000279,1.000311,1.001352,1.001384,1.001199,1.001231,1.543341,C
